,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Month,Year
599,3537,1981,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",31089.0,1,0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,3,11,0,08,2012
600,10277,1961,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",30081.0,0,1,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,02,2013
601,2453,1960,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",62807.0,0,1,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,3,11,0,08,2012
602,7972,1955,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",72906.0,0,0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,3,11,0,09,2013
603,895,1948,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",61467.0,0,2,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,3,11,0,12,2012
604,1177,1966,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",49618.0,1,1,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,3,11,0,01,2013
605,7141,1986,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",21888.0,1,0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,3,11,1,12,2012
606,7232,1973,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,02,2014
607,8477,1956,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",26150.0,2,1,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,3,11,0,03,2013
608,2457,1975,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",30801.0,0,1,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,3,11,0,10,2012
609,988,1965,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",81168.0,0,0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,3,11,0,05,2014
610,7930,1969,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",26877.0,0,0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,3,11,0,08,2013
611,4587,1944,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",45006.0,0,0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,3,11,0,07,2013
612,6682,1973,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",18978.0,1,0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,3,11,0,12,2012
613,6222,1967,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,10,2013
614,10299,1969,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",48240.0,0,0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,3,11,1,11,2012
615,3083,1974,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",45837.0,1,1,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,3,11,0,07,2013
616,8953,1965,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",35791.0,2,1,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,3,11,0,05,2013
617,1503,1976,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",162397.0,1,1,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,3,11,0,06,2013
618,8650,1978,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",54162.0,1,1,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,3,11,0,03,2013
619,10862,1960,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,3,11,0,08,2012
620,2782,1961,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,07,2013
621,6941,1971,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",31632.0,0,0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,3,11,0,07,2013
622,10972,1949,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",72298.0,0,0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,3,11,0,03,2014
623,10708,1978,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",36975.0,1,0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,12,2013
624,6583,1955,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",72635.0,0,0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,3,11,0,06,2013
625,3641,1976,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",13624.0,1,0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,01,2013
626,10156,1975,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",84196.0,0,1,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,3,11,0,06,2013
627,4299,1960,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",70971.0,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,3,11,1,09,2012
628,3469,1977,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",34487.0,1,1,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,3,11,0,09,2012
629,5063,1977,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",28769.0,1,0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,3,11,0,12,2012
630,10727,1970,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",69084.0,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,3,11,0,11,2013
631,9624,1958,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",65488.0,0,0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,3,11,0,06,2014
632,5156,1970,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,3,11,0,01,2014
633,4376,1960,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",32218.0,0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,3,11,1,02,2014
634,8923,1973,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",83917.0,0,0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,3,11,1,04,2013
635,8461,1962,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,03,2014
636,6945,1952,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",84574.0,0,0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,3,11,0,06,2013
637,944,1962,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,3,11,0,01,2013
638,1907,1950,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,3,11,1,09,2012
639,701,1971,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",73691.0,0,1,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,3,11,0,11,2013
640,3856,1960,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",63381.0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,3,11,0,10,2012
641,4149,1948,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",76140.0,0,0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,3,11,0,05,2014
642,2131,1959,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",62859.0,0,1,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,3,11,0,12,2012
643,2942,1964,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",45906.0,0,1,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,3,11,0,05,2013
644,1173,1947,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",77632.0,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,3,11,1,03,2013
645,4381,1971,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",46463.0,1,1,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,3,11,0,08,2013
646,4611,1970,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",105471.0,0,0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,3,11,1,01,2013
647,3376,1970,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",55282.0,1,0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,3,11,0,12,2013
648,4679,1977,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",78710.0,0,1,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,3,11,0,05,2014
649,10928,1958,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,3,11,0,09,2013
650,4248,1960,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,3,11,0,02,2014
651,6728,1985,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",29103.0,1,0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,3,11,0,08,2012
652,6661,1974,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",67445.0,0,1,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,3,11,0,08,2012
653,4725,1950,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",50616.0,0,1,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,3,11,0,04,2014
654,3277,1955,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",49431.0,0,1,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,3,11,0,08,2012
655,5555,1975,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",153924.0,0,0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,11,0,02,2014
656,2564,1953,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",61278.0,0,1,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,3,11,0,01,2014
657,946,1958,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,3,11,0,09,2012
658,3867,1947,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",73059.0,0,1,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,3,11,0,08,2013
659,6940,1966,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",46734.0,1,2,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,3,11,0,10,2013
660,55,1963,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",56253.0,0,1,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,3,11,0,12,2012
661,7093,1985,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",19986.0,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,3,11,0,11,2013
662,5084,1975,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,3,11,0,12,2013
663,1777,1980,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",25965.0,0,0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,3,11,0,09,2012
664,8162,1956,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",14661.0,0,0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,3,11,0,01,2013
665,10826,1959,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",18690.0,0,0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,3,11,0,12,2012
666,8754,1974,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",45068.0,0,1,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,3,11,0,05,2013
667,1987,1987,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",21063.0,1,0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,3,11,0,09,2013
668,11007,1968,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",29187.0,1,0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,3,11,0,05,2013
669,7426,1971,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",54690.0,1,1,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,3,11,0,11,2013
670,9153,1964,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",59304.0,0,1,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,3,11,0,07,2013
671,10379,1962,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",59247.0,0,2,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,3,11,0,11,2013
672,9204,1970,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",66731.0,0,1,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,3,11,0,09,2012
673,3197,1980,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",77353.0,0,1,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,3,11,0,12,2013
674,2920,1975,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",52614.0,0,1,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,3,11,0,12,2012
675,6961,1974,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",26751.0,2,0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,3,11,0,05,2014
676,4673,1963,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",81300.0,0,1,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,3,11,1,10,2012
677,9937,1979,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",70337.0,0,0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,3,11,0,01,2014
678,8779,1985,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",36145.0,1,0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,3,11,1,06,2013
679,9596,1980,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",65295.0,0,0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,3,11,0,12,2013
680,2891,1963,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",68118.0,0,1,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,3,11,0,10,2013
681,4910,1967,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",68743.0,0,0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,3,11,0,08,2012
682,75,1982,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",41039.0,0,0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,3,11,0,07,2013
683,10120,1955,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",38946.0,0,1,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,3,11,0,10,2013
684,6327,1967,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",65777.0,0,0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,3,11,0,12,2013
685,10142,1976,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",66476.0,0,1,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,3,11,0,03,2013
686,9826,1972,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",86857.0,0,0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,3,11,1,09,2012
687,1501,1982,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",160803.0,0,0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,3,11,0,08,2012
688,10767,1989,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",77845.0,0,0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,3,11,0,05,2014
689,7279,1969,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,3,11,0,09,2013
690,7230,1960,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",50611.0,0,1,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,3,11,1,10,2012
691,143,1970,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",61209.0,0,0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,3,11,0,08,2013
692,450,1958,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",42315.0,0,1,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,3,11,0,07,2013
693,9316,1952,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",13084.0,0,0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,3,11,0,11,2013
694,6379,1949,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,3,11,1,05,2013
695,9239,1961,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",61923.0,0,2,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,3,11,0,07,2013
696,8315,1995,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",34824.0,0,0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,3,11,0,03,2014
697,2868,1949,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",26518.0,1,1,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,3,11,1,04,2013
698,10888,1961,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",45938.0,0,0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,3,11,0,11,2013
699,1277,1960,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",78468.0,0,0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,3,11,0,04,2014
700,9977,1973,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",78901.0,0,1,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,3,11,0,09,2013
701,10196,1978,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",71427.0,2,0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,3,11,0,03,2014
702,6384,1978,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",71022.0,0,1,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,3,11,0,02,2014
